"synsetid","sampleid","sample"
"100053913","1","the withdrawal of French troops from Vietnam"
"100054652","1","the religious retreat is a form of vacation activity"
"100055315","1","his abandonment of his wife and children left them penniless"
"100056551","1","students making aliyah"
"100056688","1","the pullback is expected to be over 25\,000 troops"
"100056912","1","the disorderly retreat of French troops"
"100057748","1","MacArthur staged a massive amphibious landing behind enemy lines"
"100058743","1","he made his escape from the mental hospital"
"100058743","2","the canary escaped from its cage"
"100058743","3","his flight was an indication of his guilt"
"100059989","1","the breakout was carefully planned"
"100060201","1","the thieves made a clean getaway"
"100060201","2","after the expose he had to take it on the lam"
"100061917","1","the victory was the realization of a whole year's work"
"100062806","1","the attainment of independence"
"100063014","1","he tied the Olympic record"
"100063014","2","coffee production last year broke all previous records"
"100063014","3","Chicago set the homicide record"
"100063310","1","the track record for the mile and a half at Belmont is 2 minutes 24 seconds held by Secretariat since 1973"
"100063652","1","his success in the marathon was unexpected"
"100063652","2","his new play was a great success"
"100064018","1","winning is not everything"
"100064370","1","that movie was the sleeper of the summer"
"100064504","1","that song was his first hit and marked the beginning of his career"
"100064504","2","that new Broadway show is a real smasher"
"100064504","3","the party went with a bang"
"100064789","1","the new advertising campaign was a bell ringer"
"100064789","2","scored a bull's eye"
"100064789","3","hit the mark"
"100064789","4","the president's speech was a home run"
"100065216","1","the conquest of space"
"100065418","1","they passed inspection with flying colors"
"100065575","1","his future depended on his passing that test"
"100065575","2","he got a pass in introductory chemistry"
"100066397","1","he resented my failure to return his call"
"100066397","2","the mechanic's failure to check the brakes"
"100066636","1","his failure to pass the test"
"100066901","1","his failing the course led to his disqualification"
"100066901","2","he got two flunks on his report"
"100067153","1","all my efforts led to naught"
"100067254","1","he was punished for taking too many cuts in his math class"
"100067397","1","he lost the game by default"
"100067526","1","everyone expected him to win so his loss was a shock"
"100067707","1","they were protected until the capitulation of the fort"
"100068170","1","the biggest upset since David beat Goliath"
"100070965","1","he made a bad mistake"
"100070965","2","she was quick to point out my errors"
"100070965","3","I could understand his English in spite of his grammatical faults"
"100071864","1","the second baseman made a bobble but still had time to throw the runner out"
"100072261","1","he made a huge blot on his copybook"
"100072473","1","he changed his name in order to avoid confusion with the notorious outlaw"
"100073177","1","the error in the calculation was attributable to rounding"
"100073177","2","taxes are rounded off to the nearest dollar but the rounding error is surprisingly small"
"100075790","1","he made a bad bull of the assignment"
"100076393","1","he dropped a clanger"
"100076563","1","he recited the whole poem without a single trip"
"100076563","2","he arranged his robes to avoid a trip-up later"
"100076563","3","confusion caused his unfortunate misstep"
"100076884","1","he had a nasty spill on the ice"
"100077419","1","the acquisition of wealth"
"100077419","2","the acquisition of one company by another"
"100077981","1","catching cold is sometimes unavoidable"
"100077981","2","the contracting of a serious illness can be financially catastrophic"
"100078217","1","incurring debts is easier than paying them"
"100078536","1","the French annexation of Madagascar as a colony in 1896"
"100078536","2","a protectorate has frequently been a first step to annexation"
"100078821","1","keeps his hold on his constituents through unashamed pork-barreling"
"100079018","1","they closed the purchase with a handshake"
"100081572","1","buying and selling fill their days"
"100081572","2","shrewd purchasing requires considerable knowledge"
"100081836","1","went shopping for a reliable plumber"
"100081836","2","does her shopping at the mall rather than down town"
"100082081","1","does the weekly marketing at the supermarket"
"100082525","1","her acceptance of the gift encouraged him"
"100082525","2","he anticipated their acceptance of his offer"
"100082870","1","his assumption of office coincided with the trouble in Cuba"
"100082870","2","the Nazi assumption of power in 1934"
"100082870","3","he acquired all the company's assets for ten million dollars and the assumption of the company's debts"
"100083260","1","your assumption that I would agree was unwarranted"
"100083729","1","he was responsible for the procurement of materials and supplies"
"100083975","1","the necessary funds were obtained by the government's appropriation of the company's operating unit"
"100083975","2","a person's appropriation of property belonging to another is dishonest"
"100084371","1","the borrowing of ancient motifs was very apparent"
"100084642","1","the naturalization in English of many Italian words"
"100084895","1","his explanation was a misappropriation of sociological theory"
"100085041","1","the preemption of bandwidth by commercial interests"
"100085432","1","a succession of generals who ruled by usurpation"
"100085829","1","Originally distress was a landlord's remedy against a tenant for unpaid rents or property damage but now the landlord is given a landlord's lien"
"100086809","1","occupation of a building without a certificate of occupancy is illegal"
"100087663","1","he criticized the awarding of compensation by the court"
"100087849","1","under Roman law addiction was the justification for slavery"
"100088154","1","block grants reduce federal responsibility for social welfare"
"100088725","1","the policeman on the beat got credit for the collar"
"100089351","1","upon the restitution of the book to its rightful owner the child was given a tongue lashing"
"100089657","1","the Treasury will find some clawback for the extra benefits members received"
"100090393","1","she allocated part of the trust to her church by appointment"
"100090610","1","the department got a good comb-out"
"100090779","1","the alumni followed a program of annual giving"
"100092663","1","the Prohibition amendment made bootlegging profitable"
"100092847","1","the bootlegging of videotapes is common in Asia"
"100093483","1","work is the deliverance of mankind"
"100093483","2","a surgeon's job is the saving of lives"
"100093874","1","he took a course in lifesaving"
"100094500","1","in the Middle Ages the unrestricted sale of indulgences by pardoners became a widespread abuse"
"100095329","1","how can I make amends"
"100095971","1","the reclamation of delinquent children"
"100096513","1","the salvation of his party was the president's major concern"
"100097504","1","they criticised his performance as mayor"
"100097504","2","experience generally improves performance"
"100098385","1","a mechanism of social control"
"100098385","2","mechanisms of communication"
"100098385","3","the mechanics of prose style"
"100098625","1","that restaurant has excellent service"
"100099267","1","the group joined together in a dramatic production"
"100100543","1","her rendition of Milton's verse was extraordinarily moving"
"100101003","1","the campaign put a favorable spin on the story"
"100101410","1","the violinist's bowing was excellent"
"100101809","1","the violinist's stopping was excellent"
"100102457","1","automation replaces human workers by machines"
"100103834","1","after reaching the desired velocity the drive is cut off"
"100104088","1","he moved the throttle to the firewall"
"100104249","1","the impulse knocked him over"
"100104539","1","the catcher made a good throw to second base"
"100105271","1","he gave it a mighty heave"
"100105271","2","he was not good at heaving passes"
"100105820","1","the pass was fumbled"
"100106104","1","his pitch fell short and his hat landed on the floor"
"100106888","1","he gave the ball a shy to the first baseman"
"100107400","1","he threw nine straight balls before the manager yanked him"
"100108181","1","he swung late on the fastball"
"100108181","2","he showed batters nothing but smoke"
"100109414","1","this pitcher throws more strikes than balls"
"100110057","1","his shot hit the rim and bounced out"
"100112312","1","he gave the door a hard push"
"100112312","2","the pushing is good exercise"
"100112674","1","depression of the space bar on the typewriter"
"100112828","1","a click on the right button for example"
"100113113","1","he gave the button a press"
"100113113","2","he used pressure to stop the bleeding"
"100113113","3","at the pressing of a button"
"100113532","1","he watched the impression of the seal on the hot wax"
"100113726","1","he gave the door a shove"
"100113954","1","she complained about bundling the children off to school"
"100114298","1","elbowing is a foul in basketball"
"100114431","1","the pull up the hill had him breathing harder"
"100114431","2","his strenuous pulling strained his back"
"100114871","1","the drag up the hill exhausted him"
"100115036","1","the haul up the hill went very slowly"
"100115292","1","the truck gave him a tow to the garage"
"100116122","1","his leg was in traction for several days"
"100116376","1","he responded with a lift of his eyebrow"
"100116376","2","fireman learn several different raises for getting ladders up"
"100117810","1","the belching of smoke from factory chimneys"
"100119568","1","he advanced in a series of jumps"
"100119568","2","the jumping was unexpected"
"100119893","1","he took a header into the shrubbery"
"100120647","1","the wailing and jumping up and down exhausted him"
"100120943","1","the quarterback fumbled the snap"
"100121645","1","the forwarding of mail to a new address is done automatically"
"100121645","2","the forwarding of resumes to the personnel department"
"100122338","1","the postmark indicates the time of mailing"
"100122661","1","his shooting was slow but accurate"
"100122954","1","they hold a shoot every weekend during the summer"
"100123430","1","two runners started before the gun"
"100123430","2","a twenty gun salute"
"100123783","1","the gunfire endangered innocent bystanders"
"100123783","2","they retreated in the face of withering enemy fire"
"100124880","1","her fingers came in contact with the light switch"
"100125126","1","he gave the hood a quick rub"
"100125629","1","repeated hitting raised a large bruise"
"100125629","2","after three misses she finally got a hit"
"100126100","1","the bruise resulted from a contusion"
"100126236","1","his crash through the window"
"100126236","2","the fullback's smash into the defensive line"
"100127021","1","he goes south every winter for the golfing"
"100127286","1","he worked the pitcher for a base on balls"
"100127531","1","they did their best"
"100127672","1","it was the worst he had ever done on a test"
"100129527","1","you only get 3 outs per inning"
"100129743","1","the shortstop got the runner at second on a force"
"100130093","1","the first baseman made 15 putouts"
"100131608","1","the batter hit a liner to the shortstop"
"100132756","1","he hit a double to deep centerfield"
"100133234","1","he gave me a clip on the ear"
"100133338","1","he gave the table a whack"
"100134574","1","the whip raised a red welt"
"100134780","1","I gave him a clout on his nose"
"100135148","1","I gave him a good box on the ear"
"100135311","1","she gave me a sharp dig in the ribs"
"100136329","1","he gave the ball a powerful kick"
"100136329","2","the team's kicking was excellent"
"100136984","1","the punt traveled 50 yards"
"100136984","2","punting is an important part of the game"
"100138078","1","there was a brief kiss of their hands in passing"
"100138441","1","peonies can be blighted by the laying on of a finger"
"100138956","1","Mays made the catch with his back to the plate"
"100138956","2","he made a grab for the ball before it landed"
"100138956","3","Martin's snatch at the bridle failed and the horse raced away"
"100138956","4","the infielder's snap and throw was a single motion"
"100139919","1","the tight end made a great reception on the 20 yard line"
"100140393","1","an interlocking of arms by the police held the crowd in check"
"100141176","1","he made an audit of all the plants on his property"
"100141176","2","an energy efficiency audit"
"100141176","3","an email log audit"
"100141806","1","they made a check of their equipment"
"100141806","2","the pilot ran through the check-out procedure"
"100142140","1","spot checks ensure a high level of performance by employees"
"100142665","1","they made a comparison of noise levels"
"100142665","2","the fractions selected for comparison must require pupils to consider both numerator and denominator"
"100143057","1","he went over the contract with a fine-tooth comb looking for loopholes"
"100143626","1","I gave him the once-over"
"100144778","1","he showered her with caresses"
"100144778","2","soft music was a fond caress"
"100144778","3","the caresses of the breeze played over his face"
"100145218","1","the joining of hands around the table"
"100145218","2","there was a connection via the internet"
"100145779","1","WordNet gets many hits from users worldwide"
"100146856","1","the merging of the two groups occurred quickly"
"100146856","2","there was no meeting of minds"
"100148057","1","the tightening of economic controls"
"100149262","1","the tying of bow ties is an art; the untying is easy"
"100150591","1","the dog's laps were warm and wet"
"100150932","1","the tracing of genealogies"
"100151497","1","the determination of molecular structures"
"100154433","1","his documentation of the results was excellent"
"100154433","2","the strongest support for this view is the work of Jones"
"100155487","1","he got a good fix on the target"
"100156812","1","though pressed into rugby under compulsion I began to enjoy the game"
"100156812","2","they didn't have to use coercion"
"100157318","1","the cross-pollination of the arts"
"100157463","1","she denounced the exposure of children to pornography"
"100157687","1","an overexposure to violence on television"
"100157957","1","they resented the impingement of American values on European culture"
"100158185","1","his manipulation of his friends was scandalous"
"100158443","1","football players try to play mind games with the opposition"
"100158443","2","the jeweler's mind game is to convince lovers that the size of a gemstone reflects the depth of their feelings"
"100159177","1","inducement of sleep"
"100159396","1","he was held on charges of corruption and racketeering"
"100159620","1","his enticements were shameless"
"100160073","1","she refused to use insinuation in order to gain favor"
"100160688","1","calling his seduction of the girl a `score' was a typical example of male slang"
"100161243","1","your choice of colors was unfortunate"
"100161243","2","you can take your pick"
"100162236","1","their system of hiring people seemed to be a sort of lucky dip"
"100162632","1","the burden of decision was his"
"100162632","2","he drew his conclusions quickly"
"100163047","1","followed my father of my own volition"
"100163233","1","my intention changed once I saw her"
"100163406","1","an about-face on foreign policy"
"100163779","1","the appointment had to be approved by the whole committee"
"100164152","1","the Republican nomination for Governor"
"100164345","1","the first task is the assignment of an address to each datum"
"100164801","1","he was ejected for protesting the call"
"100165298","1","the rabbi's family was present for his ordination"
"100165563","1","he was unable to make his motion because he couldn't get recognition by the chairman"
"100165942","1","he didn't make a move to help"
"100165942","2","his first move was to hire a lawyer"
"100167063","1","the endgame began after the exchange of queens"
"100167278","1","black lost the exchange"
"100168658","1","they say that three moves equal one fire"
"100168911","1","they did a moonlight flit"
"100169305","1","the plane went into a steep bank"
"100171249","1","he would stoop to any device to win a point"
"100171249","2","it was a great sales gimmick"
"100171249","3","a cheap promotions gimmick for greedy businessmen"
"100171618","1","he played a trick on me"
"100171618","2","he pulled a fast one and got away with it"
"100171882","1","how did you ever fall for a shtik like that?"
"100172347","1","she needs some fancy footwork to cover all those lies"
"100172710","1","a means of control"
"100172710","2","an example is the best agency of instruction"
"100172710","3","the true way to success"
"100173283","1","hard work was his escape from worry"
"100173283","2","they installed a second hatch as an escape"
"100173283","3","their escape route"
"100173487","1","they saw independence as the fast track to democracy"
"100173487","2","he took a fast track to the top of the corporate ladder"
"100173487","3","the company went off the fast track when the stock market dropped"
"100173761","1","my greed was the instrument of my destruction"
"100173761","2","science has given us new tools to fight disease"
"100174003","1","the road to fame"
"100174127","1","the royal road to success"
"100174260","1","the job was just a stepping stone on his way to fame and riches"
"100174412","1","the situation called for strong measures"
"100174412","2","the police took steps to reduce crime"
"100175174","1","a leveraged buyout by upper management can be used to combat hostile takeover bids"
"100176766","1","the acquisition gave the company a safe harbor"
"100177638","1","he acted as a backstop in case anything went wrong"
"100178177","1","a double-blind procedure is used to guard against both experimenter bias and placebo effects"
"100178700","1","he uses drugs as a psychological crutch"
"100178972","1","`pis aller' is French for `worst going'"
"100179125","1","he had to resort to desperate measures"
"100179380","1","tourism was their economic salvation"
"100179380","2","they turned to individualism as their salvation"
"100179576","1","the treaty had no teeth in it"
"100179683","1","the voice of the law"
"100179683","2","the Times is not the voice of New York"
"100179683","3","conservatism has many voices"
"100179916","1","necessity lends wings to inspiration"
"100180228","1","he always wrote down his New Year's resolutions"
"100180413","1","its adoption by society"
"100180413","2","the proposal found wide acceptance"
"100180770","1","his willing embrace of new ideas"
"100180770","2","in the bosom of the family"
"100180962","1","her election of medicine as a profession"
"100181373","1","he did not run for reelection"
"100181781","1","the results of the election will be announced tonight"
"100182213","1","they put the question to a vote"
"100182897","1","closed primaries strengthen party unity"
"100183505","1","there were only 17 votes in favor of the motion"
"100183505","2","they allowed just one vote per person"
"100185104","1","the reconciliation of his checkbook and the bank statement"
"100186634","1","the winning score came with less than a minute left to play"
"100187144","1","in repeated sets of five shots his numbers of bull's-eyes varied"
"100187337","1","the winning goal came with less than a minute left to play"
"100187499","1","the own goal cost them the game"
"100187710","1","he finished with three strikes in the tenth frame"
"100188007","1","the break in the eighth frame cost him the match"
"100189565","1","the Yankees scored 3 runs in the bottom of the 9th"
"100189565","2","their first tally came in the 3rd inning"
"100190180","1","he had more than 100 rbi last season"
"100190783","1","the solution took three hours"
"100191142","1","the change of government had no impact on the economy"
"100191142","2","his change on abortion cost him the election"
"100192613","1","it was a small economy to walk to work every day"
"100192613","2","there was a saving of 50 cents"
"100194257","1","her explorer husband resisted all her attempts at domestication"
"100194414","1","the decimalization of British currency"
"100194969","1","any variation in his routine was immediately reported"
"100195194","1","who is responsible for these variations in taxation?"
"100195415","1","the law took many turnings over the years"
"100195569","1","my broker recommended a greater diversification of my investments"
"100195569","2","he limited his losses by diversification of his product line"
"100195938","1","his opinions are in flux"
"100195938","2","the newness and flux of the computer industry"
"100196084","1","his switch on abortion cost him the election"
"100196485","1","he sent Smith in for Jones but the substitution came too late to help"
"100197772","1","replacing the star will not be easy"
"100198631","1","the preferment went to the younger candidate"
"100200041","1","conjurers are experts at misdirection"
"100200563","1","his new position involves a qualification of his party's platform"
"100200768","1","after the takeover there was a thorough reorganization"
"100200768","2","the reorganization was prescribed by federal bankruptcy laws"
"100201671","1","the transfer of the music from record to tape suppressed much of the background noise"
"100201923","1","they were restrained by a prohibition in their charter"
"100201923","2","a medical inhibition of alcoholic beverages"
"100201923","3","he ignored his parents' forbiddance"
"100202284","1","he encountered a general feeling of resistance from many citizens"
"100202284","2","despite opposition from the newspapers he went ahead"
"100202816","1","his style of painting was a reaction against cubism"
"100203020","1","there was a backlash of intolerance"
"100203342","1","his proposals were met with rejection"
"100204022","1","averting her gaze meant that she was angry"
"100204199","1","that was a narrow escape"
"100205349","1","the turndown was polite but very firm"
"100206927","1","the ejection of troublemakers by the police"
"100206927","2","the child's expulsion from school"
"100207761","1","men in exile dream of hope"
"100207761","2","his deportation to a penal colony"
"100207761","3","the expatriation of wealthy farmers"
"100207761","4","the sentence was one of transportation for life"
"100208521","1","he has been relegated to a post in Siberia"
"100209943","1","the termination of the agreement"
"100210518","1","his best finish in a major tournament was third"
"100210518","2","the speaker's finishing was greeted with applause"
"100211593","1","I appreciated his follow-through on his promise"
"100211776","1","his follow-through was straight down the line toward the target"
"100211776","2","squash can be dangerous if your opponent has a long follow-through"
"100212377","1","he emerged from his hibernation to make his first appearance in several years"
"100213186","1","the handover of occupied territory"
"100213903","1","he was granted immunity from prosecution"
"100214148","1","collusion resulted in tax fixes for gamblers"
"100214526","1","the doctrine of sovereign immunity originated with the maxim that the king can do no wrong"
"100215534","1","after 15 years together they are headed for splitsville"
"100216834","1","he died in a purge by Stalin"
"100217593","1","the pilot reported two kills during the mission"
"100219575","1","he had two deaths on his conscience"
"100221178","1","he avenged the bloodshed of his kinsmen"
"100222485","1","it is a crime to commit suicide"
"100222766","1","his insistence was pure self-destruction"
"100224260","1","a bloodbath took place when the leaders of the plot surrendered"
"100224260","2","ten days after the bloodletting Hitler gave the action its name"
"100224260","3","the valley is no stranger to bloodshed and murder"
"100224260","4","a huge prison battue was ordered"
"100225150","1","when the shooting stopped there were three dead bodies"
"100225786","1","no evidence that the choking was done by the accused"
"100226319","1","getting through that small opening was a tight squeeze"
"100226951","1","a bad case of the heaves"
"100227264","1","strangulation of the intestine"
"100228283","1","the abolition of capital punishment"
"100229034","1","he quit smoking cold turkey"
"100229034","2","she quit her job cold turkey"
"100229260","1","they regretted the closure of the day care center"
"100229934","1","the extinction of the lights"
"100232147","1","any derogation of the common law is to be strictly construed"
"100232863","1","recission may be brought about by decree or by mutual consent"
"100233212","1","the vitiation of the contract"
"100234423","1","the neutralization of Belgium"
"100234892","1","there was a reversal of autonomic function"
"100235435","1","he was responsible for the beginning of negotiations"
"100236194","1","he uses other people's ideas as a springboard for his own"
"100236194","2","reality provides the jumping-off point for his illusions"
"100236194","3","the point of departure of international comparison cannot be an institution but must be the function it carries out"
"100236581","1","Elizabeth's accession in 1558"
"100237078","1","the constitution of a PTA group last year"
"100237078","2","it was the establishment of his reputation"
"100237078","3","he still remembers the organization of the club"
"100237705","1","regular exercise resulted in the re-establishment of his endurance"
"100238022","1","they looked forward to the debut of their new product line"
"100238527","1","the induction of an anesthetic state"
"100239766","1","he told jokes as an icebreaker"
"100239910","1","he opposed the inauguration of fluoridation"
"100239910","2","the startup of the new factory was delayed by strikes"
"100240184","1","she looked forward to her initiation as an adult"
"100240184","2","the foundation of a new scientific society"
"100240754","1","the authorship of the theory is disputed"
"100240938","1","the telephone installation took only a few minutes"
"100241699","1","he got his start because one of the regular pitchers was in the hospital"
"100241699","2","his starting meant that the coach thought he was one of their best linemen"
"100242431","1","repeated shutdowns and startups are expensive"
"100242583","1","the issue underlying the strike was unionization"
"100242808","1","the purpose of art is the arousal of emotions"
"100243237","1","it signalled the ushering in of a new era"
"100243373","1","the new president obviously enjoyed his inauguration"
"100243662","1","we didn't get to first base with that approach"
"100243918","1","cooking can be a great art"
"100243918","2","people are needed who have experience in cookery"
"100243918","3","he left the preparation of meals to his wife"
"100246552","1","proper toasting should brown both sides of a piece of bread"
"100247442","1","the slow roasting took several hours"
"100248748","1","the team's continued success is attributable to a steady infusion of new talent"
"100248977","1","their improvements increased the value of the property"
"100249501","1","advancement of knowledge"
"100249501","2","great progress in the arts"
"100249780","1","his experience in marketing resulted in the forwarding of his career"
"100249987","1","make strides"
"100249987","2","they made big strides in productivity"
"100250259","1","he congratulated them on their development of a plan to meet the emergency"
"100250259","2","they funded research and development"
"100250597","1","the broadening of travel"
"100251013","1","he gave his shoes a good cleaning"
"100252020","1","he gave it a good mopping"
"100252894","1","purification through repentance"
"100256620","1","he gave his hair a quick brush"
"100256746","1","his hair needed a comb"
"100257580","1","he took a shower after the game"
"100257770","1","he has a good bath every morning"
"100259392","1","he needed a salve for his conscience"
"100260051","1","the simultaneous optimization of growth and profitability"
"100260051","2","in an optimization problem we seek values of the variables that lead to an optimal value of the function that is to be optimized"
"100260051","3","to promote the optimization and diversification of agricultural products"
"100260622","1","justice was for sale before the reform of the law courts"
"100261405","1","the family rejoiced in the drunkard's reform"
"100263000","1","the children had to be in bed before it was time for the trimming of the tree"
"100264913","1","the modernization of Nigeria will be a long process"
"100265119","1","they are pursuing a general program of renovation to the entire property"
"100265119","2","a major overhal of the healthcare system was proposed"
"100265472","1","give your home a facelift"
"100265472","2","more than a facelift\, the new model marks a fundamental change of direction"
"100265773","1","for years she worked toward the moralization of English literature"
"100266401","1","the market took a downturn"
"100267522","1","he wrote the manual on car care"
"100268112","1","it was time for an overhaul on the tractor"
"100269674","1","the blighted neighborhood underwent a total makeover"
"100270919","1","the play had bookings throughout the summer"
"100271155","1","they played a gig in New Jersey"
"100271636","1","science has been blamed for the dehumanization of modern life"
"100272448","1","corruption of a minor"
"100272448","2","the big city's subversion of rural innocence"
"100274206","1","the etiolation of celery"
"100275151","1","the hairdresser gave her hair a modest tinting"
"100277811","1","he gave it a good drenching"
"100278403","1","the lawn needs a great deal of watering"
"100278555","1","baptized with a sprinkling of holy water"
"100278555","2","a sparge of warm water over the malt"
"100279377","1","ruminants have remarkable powers of rumination"
"100279835","1","police controlled the motion of the crowd"
"100279835","2","the movement of people from the farms to the cities"
"100279835","3","his move put him directly in my path"
"100280586","1","the movement of cargo onto the vessel"
"100280853","1","the hunter's approach scattered the geese"
"100281132","1","he gained access to the building"
"100281291","1","he got his job through the back door"
"100281462","1","the ship's rapid rate of closing gave them little time to avoid a collision"
"100282485","1","the army made a push toward the sea"
"100282613","1","the general had had a distinguished career"
"100282613","2","he had a long career in the law"
"100282840","1","the march of science"
"100282840","2","the march of time"
"100282953","1","after we solved that problem the rest was plain sailing"
"100283568","1","walking is a healthy form of exercise"
"100283951","1","the hospital encouraged early ambulation"
"100284665","1","he followed on foot"
"100284665","2","the swiftest of foot"
"100284798","1","he took a walk after lunch"
"100285557","1","he walked with unsteady steps"
"100286240","1","he heard the trip of women's feet overhead"
"100288970","1","she enjoys a hike in her spare time"
"100289737","1","he walked with a kind of saunter as if he hadn't a care in the world"
"100290406","1","ducks walk with a waddle"
"100290579","1","it was a long march"
"100290579","2","we heard the sound of marching"
"100291400","1","the prisoner's ankles were so chained together that they could only march in lockstep"
"100291965","1","I could recognize his plod anywhere"
"100292599","1","we took a turn in the park"
"100292712","1","from his shambling I assumed he was very old"
"100293125","1","Michael Jackson perfected the moonwalk in the 1980s"
"100293753","1","the realtor took her on a walk-through of the apartment"
"100293916","1","he broke into a run"
"100293916","2","his daily run keeps him fit"
"100294748","1","he made a break for the open door"
"100294868","1","a crawl was all that the injured man could manage"
"100294868","2","the traffic moved at a creep"
"100295172","1","he drove an extra lap just for insurance"
"100295701","1","he enjoyed selling but he hated the travel"
"100296263","1","Magellan's circumnavigation of the earth proved that it is a globe"
"100296585","1","processions were forbidden"
"100297062","1","she followed him in his wanderings and looked after him"
"100298161","1","Tourism is a major business in Bermuda"
"100300441","1","air travel involves too much waiting in airports"
"100300441","2","if you've time to spare go by air"
"100301192","1","I took the noon flight to Chicago"
"100302001","1","how many nonstops are there to Dallas?"
"100302185","1","he took the redeye in order to get home the next morning"
"100302394","1","flying was still an exciting adventure for him"
"100303849","1","he had done a lot of parachuting in the army"
"100304208","1","the Stealth bomber made its maiden flight in 1989"
"100304592","1","the plane turned to make a second pass"
"100306900","1","then we embarked on the second stage of our Caribbean cruise"
"100307455","1","there is standing room only on the high-speed commute"
"100307631","1","he took the family for a drive in his new car"
"100308073","1","it's a long haul from New York to Los Angeles"
"100308370","1","he took a trip to the shopping center"
"100308871","1","the ship made its run in record time"
"100309011","1","take a run into town"
"100309115","1","the outward passage took 10 days"
"100309276","1","he gave me a lift home"
"100309368","1","they took their girlfriends for joyrides in stolen cars"
"100309540","1","he took the new car for a spin"
"100310666","1","they took an extended tour of Europe"
"100310666","2","we took a quick circuit of the park"
"100310666","3","a ten-day coach circuit of the island"
"100311528","1","they took the show on the road"
"100311528","2","they lost all their games on the road"
"100311809","1","many summer excursions to the shore"
"100311809","2","it was merely a pleasure trip"
"100311809","3","after cautious sashays into the field"
"100312266","1","he took the dogs for an airing"
"100312691","1","they are on the way"
"100313096","1","in 1912 the ocean liner Titanic sank on its maiden voyage"
"100314271","1","he is studying for the ministry"
"100315534","1","we saved money by bareboating"
"100316989","1","the plane was late and he missed his connection in Atlanta"
"100317207","1","his reluctant delivery of bad news"
